label,text
negative,ReutersPayments companies and banks are at loggerheads over the sharing of governmentgranted subsidies for building payment infrastructure said three people with knowledge of the matter   The companies have written to the National Payments Corp of India NPCI complaining that  crore of the  crore granted in the budget is being retained by banks they said This has deprived companies connecting up the last mile of statepromised revenues according to them The government granted the subsidies in exchange for waiving Merchant Discount Rate MDR charges  The government has released  crore worth of subsidies to banks but they are not sharing it with any payment aggregators said the CEO of a payments company on condition of anonymity   Compensation for MDR Waiver   We have taken up the matter with NPCI which is the nodal agency but the feedback that we got is that we should take the matter up with respective banks but they are not responding  Last year finance minister Nirmala Sitharaman had announced a Rs  crore fund to hasten the expansion of Indias digital payments industry a move that was seen as compensating for the waiver of MDR on the use of the Unified Payments Interface UPI and RuPay cards in her previous budget   Payment aggregators are entitled to receive a  basis point subvention on smallvalue digital transactions A basis point is  percentage point     We have asked all banks for whom we process transactions on the RuPay debit cardsthey are not sharing any subsidy amount with us said another CEO Payment aggregators put in so much effort to acquire transactions on the RuPay platform when most banks were either surrendering these cards or going slow on expansion  Banks didnt respond to queries on the matter  Currently the cost of digital payment services such as switching fees or interchange fees is borne by one or more of the payment system participants or is passed on to merchants through the MDR or ultimately levied on the customer as additional charges  The Reserve Bank of India RBI said it will carry out a comprehensive review of all aspects related to charges involved in various channels of digital payments in the recently released Payments Vision  document  We believe this review could result in relatively higher credit card and wallet MDRs and the introduction of MDR on UPI to at least cover the cost said Anand Dama senior research analyst Emkay Global  While the adoption of electronic payments has surged concerns abound over viability Total digital payments rose  and  in terms of volume and value respectively in March from the year earlier according to RBI data  On the other hand usage of paper instruments such as cheques declined significantly during the period with their share in total retail payments registering a decline from  to  in terms of volume and from  to  in terms of value
positive,AgenciesThe bank presently has  million active users on its mobile app with plans to reach  million customers in a years timeAfter overhauling its IT infrastructure to set up digital banking departments internally public sector lender Bank of Baroda is now targeting at least  of retail originations and  of MSME loans valuewise to be done digitally by the end of the current fiscal year The bank is also targeting  crore of digital lending in the current fiscal year  We believe that this year we will disburse loans of over  crore through our digital bank this year alone said Akhil Handa chief digital officer Bank of Baroda This will be a combination of retail home auto personal loans and small ticket MSME loans Mudra loans and small ticket business loans We have a substantial advantage over peer banks that are getting started with their digital journey  Handa added that at least  crore crore will come from lending to the retail sector while the balance will be contributed by the MSME segment  At present  of the banks retail loans are sourced digitally Out of this  of the banks personal loans are disbursed endtoend digitally while the bulk of the home loan originations is done digitally About  of all new retail accounts were done digitally About  of retail and  of MSME will be digital this year Our thrust is on the personal loan product and looking at the present run rate that alone will help us reach our lending goal Handa said  The public sector lender is also aiming to onboard  of new retail customers through mobile banking and book  of its deposits through this mode  Last year the bank rolled out a digital lending department that will digitise half of its  lakh crore balance sheet including retail MSME and agriculture The bank expects the move toward digitisation would help it bring down the cost of operations by   Recently the Bank launched bob World its allnew digital banking platform which is aimed at providing an allinclusive and seamless virtual banking experience  The bank presently has  million active users on its mobile app with plans to reach  million customers in a years time Its aiming that nearly  of its nonfinancial inclusion customers will use this app as a primary interface Our market share of mobile banking application downloads is  which is twice our market share of retail customer deposits which is  Handa said   
positive,PTIKarnataka Chief Minister Basavaraj BommaiKarnataka Chief Minister Basavaraj Bommai on Friday said the State government has succeeded in drawing investment commitment worth about Rs  crore with its participation at the World Economic Forum Meet in Davos Switzerland Karnataka is at the forefront in attracting investments and the WEF Meet has proved to be a success he said as he asserted that the State has not lost or is not going to lose in attracting investments in the backdrop of such concerns citing certain developments locally   Investment commitments worth Rs  crore crore are expected to flow into the State after our discussions with about  companies during the Davos meet Bommai said   Speaking to reporters after returning from Davos he said the investments are a proof of the immense trust and faith Karnataka enjoys especially with regard to its technology base skilled manpower among the top corporates of the world   They are of the opinion that Karnataka is the destination for investment in new technologiesthe government is committed to ensuring implementation of these investment commitments with an endtoend approach he said adding that all these projects would be sanctioned in six months and it may take one to two years for realisation while renewable energy related ones would take  years   The government is expecting a good response to its Global Investors Meet to be held in Bengaluru in November and the Bengaluru Tech Summit after this Davos meet   To a question about neighbouring Andhra Pradesh claiming a higher investment of Rs  crore investment Bommai said Karnataka cannot be compared with any other States as the State has international standards and is attracting investment from companies of similar standards   We will also have similar numbers for example Adani group has committed a project worth Rs  crore but they have not signed an MoU but they have committed Also we have had investments in important areas of the future like hydrogen fuels semiconductor defence aerospace he said adding that he has explained to business leaders including Lakshmi Mittal Executive Chairman of ArcelorMittal about Ease of Doing Business policy of Karnataka   Detailing about investment proposals the Chief Minister said ReNew Power Pvt Ltd has signed an MoU for an investment of Rs  crore spread over the next seven years for setting up renewable energy battery storage green hydrogen units with employment opportunities for about  people   The company intends to implement the projects in two phases he said In the first phase the projects which are already under implementation would be operationalised within two years with an investment of Rs  crore and in the second phase Renewable Energy and Green Hydrogen units would be set up over the next five years at an investment of Rs  crore   Further Lulu Group International has inked an MoU for investing Rs  crore Bommai said adding the company is keen to open four shopping malls hyper market and exportoriented agroproducts stores in the State with employment potential for more than  people   Jubilant Groups Jubilant Food Works has decided to set up its new centralised kitchen and Jubilant Biosys has agreed to set up its R  D Centre in Devanahalli in a acre plot and would be investing Rs  crore this year About  people are already employed in the company   A detailed presentation has also been made for the company to convince about attractive incentive packages to invest in pharma and FMCG sectors in the State with major focus on the FMCG Park being developed in Dharwad   Hitachi Energy has shown interest in setting up EV charging infrastructure renewable energy and digitalisation projects and is keen on employing about  engineers this year   Siemens Healthineers is undertaking R  D in healthcare projects focussing on magnetic imaging and diagnostics with an investment of Rs  crore   The State government has assured special incentives for setting up advanced manufacturing of medical devices to cater to the local market with an investment of Rs  crore Thus the company is keen to invest a total of over Rs  crore in the State   Further noting that the Hero group has discussed setting up EV manufacturing the Chief Minister said We have asked them to consider the north Karnataka region and we will provide incentives   Under the Beyond Bengaluru programme the State government discussed investment opportunities in cities like Tumakuru HubliDharwad and Mysuru   Ab InBev intends to set up a nonalcoholic beverages unit in the State with an investment of Rs  crore while Nestle is set to expand and modernise its existing Instant Coffee unit in Nanjangud with an investment of Rs  crore   Dassault Systems has evinced interest to invest in Electric Vehicles Modern Production systems in association with Central Manufacturing Technology Institute industrial training for students in Digital  technology and Smart City project in Karnataka with total investments of Rs  crore   Schneider Electric is planning to consolidate their  facilities in Attibele to a single unit in Jigani with additional capacity for manufacturing new models of Data Centre UPS and energy efficient devices with an investment of Rs  crore   ArcelorMittal plans to set up a solarwind hybrid project with an investment of Rs  crore while Bharti Enterprises plans to set up a Mega Data Centre in Karnataka in addition to their existing Data Centres   Apart from these Adani Group Dalmia Cement Johnson Controls Honeywell IBM IKEA Stores PayPal Axis Bank have shown interest to invest in various sectors of the State   Discussions with corporate honchos included opportunities for setting up mega textiles park at BijapurKalaburagi production of metro train Coaches and pharma units   This was Bommais first overseas trip as Chief Minister We
negative,Getty ImagesThe budget for FY had imposed incometax on interest earned on subscriber contributions of more than  lakh a yearThe Employees Provident Fund Organisation EPFO hasnt yet been able to split subscriber accounts into two for members who contributed more than  lakh last fiscal which may create tax complications and filing issues experts said The EPFO is likely to split accounts only at the time of crediting the interest for FY which generally happens between September and December of the following fiscal year they added The EPFO had declared an interest rate of  for FY at its central board of trustees meeting last month  The budget for FY had imposed incometax on interest earned on subscriber contributions of more than  lakh a year   Since incometax returns are required to be filed by July  this may create issues if taxpayers are not aware of the taxable interest earned on provident fund contributions   As per the plan existing provident fund PF accounts with an employee contribution of over  lakh were to be split into two from April   The Central Board of Direct Taxes CBDT had inserted Rule D in the IncomeTax Rules  which specified that two separate accounts within the PF account shall be maintained to segregate the taxable and nontaxable contributions to PF along with the interest paid     There is still a lack of clarity on the details of how this is to be done  The EPFO did not respond to a query from ET on the possible delay  Organisations with PF trusts which have the obligation of withholding tax have started discussing it but await clarity from the EPFO on how to go about it as segregated accounts are not yet in place said Saraswathi Kasturirangan partner Deloitte India This may happen at the time of crediting of interest for the previous fiscal he said  A top government official told ET that the EPFO is in advanced stages of developing the system and it could be effective anytime as the retirement fund body starts accounting for the previous year Those with a basic salary of about  lakh or more would fall under this net as their  contribution would exceed  lakh Voluntary contributions by employees would also be counted toward this limit  
positive,AgenciesThere is a view in the insurance industry that IIB has not been able to achieve its full potential in absence of an independent and sustainable revenue model said another executive aware of the matterInsurance regulator is examining the recommendations of a committee that has suggested privatisation of the Insurance Information Bureau or IIB The committee set up by the Insurance Regulatory and Development Authority of India or Irdai has said that IIB should be turned into a private company owned and operated by the insurance industry with legislative backing said two executives aware of the matter  All recommendations are under consideration said the first executive explaining that a privatised bureau will help in maintaining the supply of quality data and further make it a profitable business entity  Privatisation of IIB will ensure that it explores new areas of operation provides better service to the insurance industry and has an attractive revenue model for itself he said adding that the recommendations were submitted last month  Set up in  as an advisory body IIB collects transactional data from insurers for different lines of business and produces periodical reports for the benefit of stakeholders in the insurance industry It was converted into an independent society in   There is a view in the insurance industry that IIB has not been able to achieve its full potential in absence of an independent and sustainable revenue model said another executive aware of the matter 
positive,AgenciesGoyal added that the pact would not only open doors for Indian businesses to UAE but also to other countries as UAE is a transit point for large parts of Africa CIS Commonwealth of Independent States countries and the Gulf regionThe comprehensive trade agreement between India and the UAE will help in creating huge job opportunities and boost growth of the domestic economy Commerce and Industry Minister Piyush Goyal said on Friday The bilateral pact officially dubbed as the Comprehensive Economic Partnership Agreement CEPA is expected to increase the bilateral trade in goods to over USD  billion and trade in services to over USD  billion within five years    It came into effect from May     The agreement opens the door for many sectors particularly labourintensive ones such as textiles gem and jewellery pharmaceuticals and agriculture Goyal said while briefing the media along with the UAE Minister for Economy Abdullah Bin Touq Al Marri here    The ministers launched IndiaUAE Startup Bridge at the IndiaUAE Partnership Summit organised by industry body CII here    Clearly millions of jobs will be added if our exports which are now at about USD  billion which is about nearly Rs  lakh crore grows as we are planning And my own guess estimate is this partnership can finally go up to about USD  billion of bilateral trade on both sides    So my sense is that this will give a big boost to economic growth to jobs And the opportunities it opens not only in the UAE but in the larger ground for the African region It should significantly give a bump up to the Indian economy as well Goyal said    He added that the pact would not only open doors for Indian businesses to UAE but also to other countries as UAE is a transit point for large parts of Africa CIS Commonwealth of Independent States countries and the Gulf region    CIS countries include Armenia Azerbaijan Belarus Georgia Kazakhstan Kyrgyzstan Moldova Russia and Tajikistan    Further Goyal said that Indian pharma products will get immediate access to the UAE market and we believe bilateral trade will grow to at least to USD  billion in the near futureOur own commitment is to take it to a much higher level    According to the minister the framework is expected to add a million jobs in India and provide opportunities to the startup ecosystem in the country and has huge potential for engagement on skill development and education    We are looking at significant investments as the UAE has committed over USD  billion of investments into India in manufacturing infrastructure and service s So the business will get a booster shot the minister said    He informed that there are a large number of startups which have emerged in the last six years with more than  registered with the ministry    India also has over  unicorns with the third largest startup ecosystem in the world he said    The UAE minister said the pact will add  per cent GDP growth to their economy    He also said the agreement is not just on products and commodities but also into services adding that there are other opportunities that can come along    Now the growth that were looking at that we want to reach USD billion dollars from USD  billion or so today in the next decade Our economic modelling showed that this is an opportunity of growth it can actually reach that number the minister said T
negative,ReutersIndian Tea Association has sought the help of the Assam government for appropriate measures to protect life and livelihood in that regionSevere floods in Assam have given a major blow to the tea estates in Barak Valley which is located in the southern part of the state As the road communication between the Barak valley and Brahmaputra Valley has been disrupted tea estates have not been able to dispatch teas which is causing serious financial bottlenecks to the industry  Indian Tea Association has sought the help of the Assam government for appropriate measures to protect life and livelihood in that region  Barak Valley tea Industry which has historically been suffering from several traditional problems is also reeling under severe economic crisis due to long recessionary conditions  Owing to incessant rainfall since the first week of May the whole of Barak Valley is in the grip of severe floods All the rivers which are reportedly flowing much above the danger level have caused erosion in several areas apart from submerging several towns of that region including Silchar the main hub of activities  As a result of the floods and landslides at several places road communication between Barak Valley and the Brahmaputra Valley has been disrupted  œThis in turn has severely affected the supply of several essential inputs and the dispatch of made teas Disruption of road communication to several tea estates from the major towns of that region have been affected ITA said   The inclement weather is also causing disruptions in power and instability in telecommunications  ITA said that there is great apprehension of scarcity of essential items like coal If this kind of weather conditions continue shortage of food items in the coming days cannot be ruled out the association said   
positive,ReutersWhatsApp also wants to test such incentives for those making mobile payments for Reliance JioWhatsApp will within weeks roll out cashback rewards to lure more Indians to its peertopeer payments service and is testing similar incentives for merchant payments two sources said as the company seeks to compete with rivals including Google  The latest move comes days after WhatsApp won regulatory approval to more than double its payments offering to  million users in India its biggest market with more than half a billion users overall  WhatsApp will before the end of May launch the cashback offer of up to  Indian rupees  for transfers users make on its payments service which allows contacts to send each other funds from within the messenger app said the sources who have direct knowledge of the companys plans  The incentive spread over three transactions will be given irrespective of the amount being transferred even if it is as little as  Indian rupee in what one source described as WhatsApps user acquisition drive  The WhatsApp cashback amount may appear small but Neil Shah vice president of research at Counterpoint Research said it would be a compelling enough reason for users to switch  You wont leave money on the table as an Indian Shah said  In a statement responding to a question from Reuters WhatsApp said it is running a campaign offering cashback incentives in a phased manner to our users as a way to unlock the potential of payments on WhatsApp  Separately in a broader payments push WhatsApp is testing a programme where it will dole out cashback incentives for users who pay highway tolls and utility and other bills straight from the app the two sources said  WhatsApp also wants to test such incentives for those making mobile payments for Reliance Jio Indias biggest telecom operator the sources said Reliance is a partner of WhatsApp whose parent Meta Platforms Inc in  invested  billion in the Indian firms digital arm  WhatsApp did not comment on these plans while Reliance didnt respond to a request for comment  The cashback push comes after WhatsApp in June  conducted an internal study to assess competition in India Seen by Reuters the Winning from behind on India payments study says incentives are among the top sign up reasons for our competitor apps in India  WhatsApp also assessed it needs to go beyond peertopeer payments as users use rival apps to make merchant and bill payments which the study stated will be a more attractive proposition for users to switch over to WhatsApp  WhatsApp competes with Alphabet Incs Google Pay Ant Groupbacked Paytm and Walmarts PhonePe in Indias crowded digital payments market  WhatsApps growth has been hamstrung as India has for months capped the number of users to which it can offer its payments service on fears that opening it to all its users could strain the countrys financial infrastructure Reuters has reported   T
negative,PTIGoyal said the humanitarian crisis triggered by spiraling food inflation is a matter of deep concern and the Covid pandemic has reinforced the need and efficacy of food stockholding for the public goodThis story originally appeared in  on Jun  India hit out at the World Trade Organization WTO members for not responding to the pandemic in time while urging the multilateral trade body to give priority to a permanent solution for public stockholding before moving to new areas  India also stuck to its tough stand on fisheries subsidies demanding that rich nations presently providing notspecific fuel subsidies must be subjected to some kind of discipline  Speaking at the Plenary Session of the th Ministerial Conference of WTO in Geneva on Sunday commerce and industry minister Piyush Goyal said the WTO should not negotiate rules on nontraderelated subjects like climate change and gender which legitimately fall within the domain of other intergovernmental organisations  His statement assumes significance in the wake of decisions on plurilaterals on the environment gender and MSMEs making their way into the draft outcome of the WTO MC despite many countries opposed to such initiatives  Goyal said the humanitarian crisis triggered by spiraling food inflation is a matter of deep concern and the Covid pandemic has reinforced the need and efficacy of food stockholding for the public good    Fighting for rights of our farmers within an hour of landing at WTO Geneva at the G Ministerial Meeting Discussed prospects of a permanent solution to public stockholding for food security with DG Ngozi OkonjoIweala and my counterparts from developing and least developed nations Goyal tweeted  Goyal made it clear that the country will not buckle under pressure from the developed world to sign any agreement including the one on fisheries subsidies during the June  global trade meet as the new text of the draft pact sent for consideration to the ministers has failed to address its concerns  At the plenary he also said that India ramped up supplies of medical products to provide medical and health items globally but the WTO could not respond with alacrity The rich countries need to introspect We need to bow our head in shame for our inability to respond to the pandemic Goyal said We have let down the people of the LDCs and developing countries  Goyal said the rights of Indian fishermen and women cannot be curtailed in any manner  On the contrary those nations responsible for depleted fishstock should assume responsibility having exploited the oceans for far too long by giving subsidies he said  In reply to ETs question on whether the muchawaited fisheries subsidies pact can go through in the backdrop of Indias stiff opposition WTO DirectorGeneral Ngozi OkonjoIweala said We will try our best to get the fisheries subsidies agreement through We know we are in a good stage But whatever happens I want you to know we have made so much progress that we are going to land it either now or later MC hinting at the possibility of searching for a solution only by the next ministerial  India introduced a component on deep sea vessels for traditional fishermen only in  under its flagship Rs crore PM Matsya Sampada Yojana  While reiterating that New Delhi is keen to finalise the pact to end irrational subsidies and overfishing India is making it clear that to achieve sustainability big fishing subsidisers for instance EU US China Japan et al must take greater responsibility to curtail subsidies and their fishing capacities  The other formal negotiations scheduled during the fourdaylong MC include WTOs response to the pandemic including a waiver of TradeRelated Aspects of Intellectual Property Rights TRIPS food security  both subjects being scheduled for June  fisheries subsidies and agriculture on June  and finally WTO reforms and ecommerce on June    G Bilaterals  At the G ministerial meeting he called upon the G group of developing countries work collectively and reach out to other likeminded nations to secure their support in getting a fair balanced and developmentcentric outcome at the WTO which must include a permanent solution for the public stockholding and special safeguard mechanism The G group includes  developing and least developed countries  The minister said that the two items primarily on the agenda this time are a solution to public stockholding and the special safeguard mechanism to address the destabilising and crippling effects of import surges and downward price movement largely due to huge subsidies by the developed nations   Shantanu Sharma is in Geneva at the invitation of commerce and industry ministry
positive,ET Corporate Excellence Awards  RBI rate hike not surprising says FM Nirmala SitharamanFinance minister Nirmala Sitharaman said the Centre hadnt been surprised by the Reserve Bank of India RBI raising interest rates this week and doesnt see the move affecting the governments infrastructure investment  œIt is the timing which came as a surprise to many but the act people thought should have been done anyway  to what extent could have varied she said at The Economic Times Awards for Corporate Excellence that was held in Mumbai on Saturday evening œIt came as a surprise because it came between two monetary policy reviews  She noted that in the April policy review RBI had indicated that it was time to act on inflation  Sitharaman was presented with the ET Award for Business Reformer for having guided the Indian economy through the most turbulent times in recent history at a glittering ceremony attended by top ministers and bureaucrats as well as the cream of the Indian industry  RBI raised interest rates for the first time in more than three years on May  following an unscheduled policy review to rein in prices  The finance minister also said it makes perfect sense to buy oil from Russia if its being offered to India at a discounted rate particularly with inflation on the rise globally œI thought we have been spending a lot of time explaining Indias position not just on the abstentions on Ukraine when voting took place at the United Nations but also on the fact that if Russia is offering it to us at a discounted rate we will still be buying it because it makes perfect sense particularly when the world is stressed out with inflation she said   Best Interests Amid Inflation Sitharaman said this was in the best interests of the nation when commodities prices are sending inflation higher œI think well go ahead with what is good for the country We need cheaper fuel If it is available why wont we want to buy it We will buy it she said  The finance minister observed that she sees a greater understanding among central banks worldwide and that inflation in India isnt as much as it is in the US or the UK  œBut still the challenge of recovery versus inflation seems to be following a particular template across the globe she said adding that understanding how to handle the postpandemic recovery is therefore not unique and typical just to India   GST Rates Sitharaman ruled out any major decision on rate rationalisation at the next Goods and Services Tax GST Council meeting œI want the media to please absorb everything that Im saying  its not happening in the next meeting obviously she said  Once the rate panels report on the issue was completed it will be circulated in the council for discussion œI would think that the committees report itself is not before me she said œIt is too presumptuous for me to think its going to happen in the next meeting   Food Fertiliser Subsidy The food subsidy programme will continue as long as its needed  œWe did understand that till such a time as we are confident of recovery and are confident that the poor are able to stand up for themselves and earn their livelihood comfortably we wanted to extend the food programme for which the outer understanding of our limit is Rs  lakh crore In a way that calculation has been in our minds and even during the budget preparation that was well in our consideration zone she said  The government is conscious the fertiliser subsidy may rise even this year so farmers arent burdened œSo to an extent we were prepared for an additional allocation both for the Pradhan Mantri Garib Kalyan Anna Yojana and also for the fertilisers Sitharaman said   Crypto Assets The minister said Indias stance on taxing crypto assets has been appreciated by multilateral agencies  œThe concern in the IMF International Monetary Fund and in multilateral institutions is that because there is not enough regulatory mechanism cryptos should not end up violating those FATF Financial Action Task Force norms said Sitharaman œIndia took a step forward by taxing the crypto transactions and has been well received they see it as an outofbox solution to tracking the money   Originally published on May   In Video                  ET Corporate Excellence Awards  RBI rate hike not surprising says FM Nirmala Sitharaman
