Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake
Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards'
legendary,legendary,legendary,legendary,legendary,legendary,legendary,legendary,legendary,legendary,legendary,legendary,legendary,legendary,legendary,legendary
fiasco,collapse,illness,ill_health,pathological_state,physical_condition,condition,state,administrative_district,district,region,location,object,physical_entity,entity,entity
begins,talk,conversation,speech,speech_act,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document,document
seem,be,metallic_element,chemical_element,substance,matter,concern,interest,curiosity,cognitive_state,psychological_state,condition,state,administrative_district,district,region
pointless,pointless,pointless,pointless,pointless,pointless,pointless,pointless,pointless,pointless,pointless,pointless,pointless,pointless,pointless,pointless
minutes,written_record,record,evidence,information,message,communication,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act
combination,collection,group,abstraction,concept,idea,content,collection,group,abstraction,concept,idea,content,collection,group,abstraction
Eagle,bird_of_prey,bird,vertebrate,chordate,animal,organism,living_thing,whole,concept,idea,content,collection,group,abstraction,concept
Has,angular_distance,angle,space,attribute,concept,idea,content,collection,group,abstraction,concept,idea,content,collection,group
Landed,arrive,succeed,succeed,succeed,succeed,succeed,succeed,succeed,succeed,succeed,succeed,succeed,succeed,succeed,succeed
Star,celestial_body,natural_object,whole,concept,idea,content,collection,group,abstraction,concept,idea,content,collection,group,abstraction
Oh,Oh,Oh,Oh,Oh,Oh,Oh,Oh,Oh,Oh,Oh,Oh,Oh,Oh,Oh,Oh
Lovely,photographer's_model,model,hypothesis,proposal,message,communication,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act
War,military_action,group_action,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document,document,writing,verbal_creation
Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards'
Pink,chromatic_color,color,visual_property,property,possession,control,power,quality,attribute,concept,idea,content,collection,group,abstraction
Panther,big_cat,feline,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing,whole,concept,idea,content,collection
films,product,commodity,artifact,whole,concept,idea,content,collection,group,abstraction,concept,idea,content,collection,group
Darling,lover,person,causal_agent,physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili
never,never,never,never,never,never,never,never,never,never,never,never,never,never,never,never
engages,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation
viewer;,viewer;,viewer;,viewer;,viewer;,viewer;,viewer;,viewer;,viewer;,viewer;,viewer;,viewer;,viewer;,viewer;,viewer;,viewer;
aerial,pass,accomplishment,action,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document,document,writing
sequences,series,ordering,arrangement,planning,preparation,activity,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act
musical,movie,product,commodity,artifact,whole,concept,idea,content,collection,group,abstraction,concept,idea,content,collection
